Run,np,n,0,1
1,8,4096,6.704597,7.0012
1,12,4096,6.469906,6.681607
1,8,8192,26.677985,26.392989
1,12,8192,26.907221,26.885927
2,8,4096,7.042482,6.923271
2,12,4096,6.951166,7.255511
2,8,8192,27.872274,27.130553
2,12,8192,28.752341,26.679908
3,8,4096,7.095378,7.474977
3,12,4096,7.139824,7.103242
3,8,8192,28.747905,28.641956
3,12,8192,28.928765,28.475943
4,8,4096,7.203527,7.225865
4,12,4096,7.186367,7.057219
4,8,8192,29.181453,28.801748
4,12,8192,28.964199,27.723741
5,8,4096,7.414113,7.069543
5,12,4096,7.408887,6.911225
5,8,8192,27.918284,27.120866
5,12,8192,29.566208,27.480449
